Movie Title,Year,Score,Adjusted_score,Director,Synopsis,Cast,Consensus
Running Scared,1986,59,59.01,Peter Hyams,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio...","Gregory Hines,Billy Crystal,Jimmy Smits,Steven Bauer","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining."
Equilibrium,2002,40,42.556,Kurt Wimmer,"In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and...","Christian Bale,Emily Watson,Taye Diggs,Angus Macfadyen",Equilibrium is a reheated mishmash of other sci-fi movies.
Hero,2002,94,102.628,Zhang Yimou,"In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for...","Jet Li,Tony Leung Chiu Wai,Maggie Cheung Man-yuk,Donnie Yen","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for."
Road House,1989,39,41.976,Rowdy Herrington,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has...","Patrick Swayze,Kelly Lynch,Sam Elliott,Ben Gazzara",Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.
Unstoppable,2010,87,94.718,Tony Scott,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train...","Denzel Washington,Chris Pine,Rosario Dawson,Kevin Dunn","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years."
Shaft,1971,87,91.469,Gordon Parks,"John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),...","Richard Roundtree,Moses Gunn,Christopher St. John,Charles Cioffi","This is the man that would risk his neck for his brother, man. Can you dig it?"
The Villainess,2017,85,90.989,Jeong Byeong-gil,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn...","Kim Ok-bin,Shin Ha-kyun,Sung-joon,Kim Seo-hyung",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.
Highlander,1986,70,72.951,Russell Mulcahy,When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking...,"Christopher Lambert,Sean Connery,Roxanne Hart,Clancy Brown","People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons."
Die Hard 2,1990,69,73.272,Renny Harlin,"A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this...","Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson","It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies."
National Treasure,2004,46,53.21,Jon Turteltaub,Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to...,"Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean","National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
